indent,depth_nm,H_GPa,E_GPa,Hf_true_GPa,Hs_true_GPa
2,290.0,3.9399,228.03,17.391,3.309
2,300.0,4.4301,225.69,17.391,3.309
2,310.0,4.2214,234.26,17.391,3.309
2,320.0,2.8963,227.11,17.391,3.309
2,330.0,2.6151,213.96,17.391,3.309
2,340.0,3.8593,222.93,17.391,3.309
2,350.0,2.9354,215.2,17.391,3.309
2,360.0,3.4295,207.44,17.391,3.309
2,370.0,3.8489,223.71,17.391,3.309
2,380.0,2.6009,234.84,17.391,3.309
2,390.0,2.3621,227.07,17.391,3.309
2,400.0,3.5415,219.71,17.391,3.309
3,10.0,18.4539,394.59,18.896,3.388
3,20.0,17.6047,372.66,18.896,3.388
3,30.0,15.8187,347.18,18.896,3.388
3,40.0,13.9003,321.06,18.896,3.388
3,50.0,11.6458,299.38,18.896,3.388
3,60.0,11.0154,294.32,18.896,3.388
3,70.0,9.2435,272.32,18.896,3.388
3,80.0,9.1704,257.05,18.896,3.388
3,90.0,7.2045,244.27,18.896,3.388
3,100.0,7.1334,231.32,18.896,3.388
3,110.0,6.6771,230.72,18.896,3.388
3,120.0,5.5896,230.73,18.896,3.388
3,130.0,6.7578,218.47,18.896,3.388
3,140.0,6.3307,215.57,18.896,3.388
3,150.0,5.1196,212.33,18.896,3.388
3,160.0,5.5263,211.55,18.896,3.388
3,170.0,5.15,198.97,18.896,3.388
3,180.0,3.4995,205.09,18.896,3.388
3,190.0,4.7981,199.62,18.896,3.388
3,200.0,4.5264,208.53,18.896,3.388
3,210.0,4.4974,197.27,18.896,3.388
3,220.0,3.8285,204.19,18.896,3.388
3,230.0,4.1538,208.84,18.896,3.388
3,240.0,4.1298,196.9,18.896,3.388
3,250.0,4.751,194.36,18.896,3.388
3,260.0,4.2688,198.39,18.896,3.388
3,270.0,4.0492,196.58,18.896,3.388
3,280.0,4.7717,190.04,18.896,3.388
3,290.0,3.6892,198.24,18.896,3.388
3,300.0,3.7354,207.08,18.896,3.388
3,310.0,2.9885,193.0,18.896,3.388
3,320.0,4.6511,192.94,18.896,3.388
3,330.0,4.3209,187.52,18.896,3.388
3,340.0,4.2718,195.37,18.896,3.388
3,350.0,4.1244,185.67,18.896,3.388
3,360.0,3.8236,186.22,18.896,3.388
3,370.0,3.8564,200.28,18.896,3.388
3,380.0,3.6043,186.93,18.896,3.388
3,390.0,3.6115,198.63,18.896,3.388
3,400.0,3.7247,201.08,18.896,3.388
4,10.0,25.1789,331.33,26.553,7.582
4,20.0,24.0608,319.41,26.553,7.582
4,30.0,22.4414,294.54,26.553,7.582
4,40.0,19.8392,284.92,26.553,7.582
4,50.0,16.8178,267.3,26.553,7.582
4,60.0,15.1444,254.36,26.553,7.582
4,70.0,13.9386,245.49,26.553,7.582
4,80.0,13.2377,232.43,26.553,7.582
4,90.0,12.1151,225.76,26.553,7.582
4,100.0,11.6269,234.56,26.553,7.582
4,110.0,11.1062,224.91,26.553,7.582
4,120.0,10.3522,224.33,26.553,7.582
4,130.0,10.1075,226.56,26.553,7.582
4,140.0,9.9215,208.1,26.553,7.582
4,150.0,9.518,212.08,26.553,7.582
4,160.0,9.5945,216.39,26.553,7.582
4,170.0,10.0938,216.47,26.553,7.582
4,180.0,9.2967,210.81,26.553,7.582
4,190.0,8.893,218.34,26.553,7.582
4,200.0,7.9046,212.65,26.553,7.582
4,210.0,8.8393,203.43,26.553,7.582
4,220.0,7.5824,204.53,26.553,7.582
4,230.0,7.7722,214.42,26.553,7.582
4,240.0,8.8342,211.91,26.553,7.582
4,250.0,8.6979,197.32,26.553,7.582
4,260.0,8.2144,216.43,26.553,7.582
4,270.0,7.3847,211.6,26.553,7.582
4,280.0,8.0093,215.78,26.553,7.582
4,290.0,7.8153,205.15,26.553,7.582
4,300.0,8.4366,205.43,26.553,7.582
4,310.0,9.2139,200.23,26.553,7.582
4,320.0,8.1633,222.01,26.553,7.582
4,330.0,7.6376,205.55,26.553,7.582
4,340.0,7.4167,215.96,26.553,7.582
4,350.0,7.9508,202.4,26.553,7.582
4,360.0,7.8691,207.12,26.553,7.582
4,370.0,7.3621,195.98,26.553,7.582
4,380.0,7.9778,203.59,26.553,7.582
4,390.0,7.3274,211.68,26.553,7.582
4,400.0,8.4433,198.16,26.553,7.582
5,10.0,21.4118,394.79,22.316,5.791
5,20.0,19.014,365.39,22.316,5.791
5,30.0,16.35,338.25,22.316,5.791
5,40.0,14.3378,298.65,22.316,5.791
5,50.0,12.1467,280.36,22.316,5.791
5,60.0,10.6104,252.43,22.316,5.791
5,70.0,10.1674,236.22,22.316,5.791
5,80.0,9.8258,221.27,22.316,5.791
5,90.0,8.0012,234.86,22.316,5.791
5,100.0,8.2877,215.11,22.316,5.791
5,110.0,7.5834,213.25,22.316,5.791
5,120.0,7.1187,207.42,22.316,5.791
5,130.0,7.7908,205.19,22.316,5.791
5,140.0,6.9063,201.77,22.316,5.791
5,150.0,7.7503,210.64,22.316,5.791
5,160.0,6.4742,191.05,22.316,5.791
5,170.0,6.9419,186.34,22.316,5.791
5,180.0,6.5369,188.25,22.316,5.791
5,190.0,6.1895,185.14,22.316,5.791
5,200.0,6.7879,196.63,22.316,5.791
5,210.0,6.3537,196.19,22.316,5.791
5,220.0,6.6779,184.74,22.316,5.791
5,230.0,6.3044,181.5,22.316,5.791
5,240.0,5.7426,187.12,22.316,5.791
5,250.0,6.1968,197.07,22.316,5.791
5,260.0,6.2402,171.34,22.316,5.791
5,270.0,6.6634,191.0,22.316,5.791
5,280.0,5.704,181.01,22.316,5.791
5,290.0,6.1131,193.37,22.316,5.791
5,300.0,5.2499,180.36,22.316,5.791
5,310.0,6.4166,184.83,22.316,5.791
5,320.0,5.5319,177.26,22.316,5.791
5,330.0,5.1529,180.2,22.316,5.791
5,340.0,6.0113,194.17,22.316,5.791
5,350.0,6.5799,190.58,22.316,5.791
5,360.0,5.252,183.07,22.316,5.791
5,370.0,5.4585,180.1,22.316,5.791
5,380.0,5.62,173.81,22.316,5.791
5,390.0,5.4168,182.67,22.316,5.791
5,400.0,6.1619,184.71,22.316,5.791
6,10.0,22.6779,337.6,23.283,4.291
6,20.0,20.0396,327.9,23.283,4.291
6,30.0,15.8431,302.09,23.283,4.291
6,40.0,12.8338,281.66,23.283,4.291
6,50.0,11.1345,266.53,23.283,4.291
6,60.0,9.356,248.75,23.283,4.291
6,70.0,8.184,242.64,23.283,4.291
6,80.0,7.7078,241.74,23.283,4.291
6,90.0,6.5999,235.78,23.283,4.291
6,100.0,6.9536,230.82,23.283,4.291
6,110.0,6.232,217.69,23.283,4.291
6,120.0,6.1191,227.78,23.283,4.291
6,130.0,5.6702,229.78,23.283,4.291
6,140.0,5.2091,227.37,23.283,4.291
6,150.0,4.9433,221.53,23.283,4.291
6,160.0,5.1694,209.79,23.283,4.291
6,170.0,4.9051,223.95,23.283,4.291
6,180.0,5.2044,216.71,23.283,4.291
6,190.0,5.0067,201.8,23.283,4.291
6,200.0,4.2601,218.73,23.283,4.291
6,210.0,4.9162,207.07,23.283,4.291
6,220.0,4.1601,207.85,23.283,4.291
6,230.0,4.4785,211.48,23.283,4.291
6,240.0,4.6001,222.62,23.283,4.291
6,250.0,3.6746,212.49,23.283,4.291
6,260.0,4.7269,216.1,23.283,4.291
6,270.0,4.7288,224.75,23.283,4.291
6,280.0,4.5493,223.63,23.283,4.291
6,290.0,4.3936,213.28,23.283,4.291
6,300.0,4.3986,212.29,23.283,4.291
6,310.0,4.0787,206.04,23.283,4.291
6,320.0,4.4154,209.3,23.283,4.291
6,330.0,4.2586,215.91,23.283,4.291
6,340.0,4.5668,215.62,23.283,4.291
6,350.0,3.9061,213.81,23.283,4.291
6,360.0,4.6141,219.03,23.283,4.291
6,370.0,4.5571,208.34,23.283,4.291
6,380.0,4.4047,212.56,23.283,4.291
6,390.0,4.2466,217.21,23.283,4.291
6,400.0,4.7338,216.27,23.283,4.291
7,10.0,19.085,321.03,20.818,7.64
7,20.0,18.0846,312.6,20.818,7.64
7,30.0,15.5036,289.54,20.818,7.64
7,40.0,13.8087,270.19,20.818,7.64
7,50.0,11.3972,274.92,20.818,7.64
7,60.0,11.0386,263.92,20.818,7.64
7,70.0,10.1756,258.28,20.818,7.64
7,80.0,9.4941,248.32,20.818,7.64
7,90.0,8.3871,254.24,20.818,7.64
7,100.0,9.0332,244.26,20.818,7.64
7,110.0,9.4055,250.44,20.818,7.64
7,120.0,8.955,236.94,20.818,7.64
7,130.0,8.3099,236.12,20.818,7.64
7,140.0,8.4778,241.53,20.818,7.64
7,150.0,8.7609,235.31,20.818,7.64
7,160.0,6.9168,242.93,20.818,7.64
7,170.0,8.1631,239.9,20.818,7.64
7,180.0,8.4362,232.34,20.818,7.64
7,190.0,8.4538,237.92,20.818,7.64
7,200.0,8.9185,235.04,20.818,7.64
7,210.0,8.5971,242.35,20.818,7.64
7,220.0,8.1522,232.81,20.818,7.64
7,230.0,8.1173,233.74,20.818,7.64
7,240.0,8.3338,243.45,20.818,7.64
7,250.0,7.6476,249.44,20.818,7.64
7,260.0,7.8767,247.85,20.818,7.64
7,270.0,8.3316,236.09,20.818,7.64
7,280.0,8.8407,236.9,20.818,7.64
7,290.0,7.7675,244.68,20.818,7.64
7,300.0,7.8096,234.63,20.818,7.64
7,310.0,7.9209,229.43,20.818,7.64
7,320.0,8.4822,235.9,20.818,7.64
7,330.0,7.7854,237.84,20.818,7.64
7,340.0,8.526,230.08,20.818,7.64
7,350.0,7.2996,225.12,20.818,7.64
7,360.0,7.6822,226.32,20.818,7.64
7,370.0,7.669,238.87,20.818,7.64
7,380.0,8.1547,230.28,20.818,7.64
7,390.0,8.278,233.94,20.818,7.64
7,400.0,6.995,236.02,20.818,7.64
8,10.0,14.8677,407.73,16.065,5.839
8,20.0,14.3498,381.77,16.065,5.839
8,30.0,12.0383,336.21,16.065,5.839
8,40.0,10.2293,296.89,16.065,5.839
8,50.0,9.3225,280.86,16.065,5.839
8,60.0,8.5817,263.24,16.065,5.839
8,70.0,8.4535,255.96,16.065,5.839
8,80.0,6.8696,250.94,16.065,5.839
8,90.0,6.8215,232.06,16.065,5.839
8,100.0,6.9008,241.24,16.065,5.839
8,110.0,8.1613,226.32,16.065,5.839
8,120.0,7.2193,234.16,16.065,5.839
8,130.0,6.5624,229.32,16.065,5.839
8,140.0,6.874,226.13,16.065,5.839
8,150.0,7.4643,225.97,16.065,5.839
8,160.0,6.2502,221.83,16.065,5.839
8,170.0,6.1264,220.27,16.065,5.839
8,180.0,6.8669,212.9,16.065,5.839
8,190.0,6.4664,222.01,16.065,5.839
8,200.0,6.5192,232.56,16.065,5.839
8,210.0,5.8984,232.76,16.065,5.839
8,220.0,7.0875,228.28,16.065,5.839
8,230.0,6.9565,224.12,16.065,5.839
8,240.0,6.3638,215.42,16.065,5.839
8,250.0,6.4044,227.78,16.065,5.839
8,260.0,5.0322,218.46,16.065,5.839
8,270.0,6.3499,218.1,16.065,5.839
8,280.0,5.9208,216.5,16.065,5.839
8,290.0,6.2229,218.57,16.065,5.839
8,300.0,6.3364,215.2,16.065,5.839
8,310.0,5.8148,217.12,16.065,5.839
8,320.0,5.1313,210.94,16.065,5.839
8,330.0,6.1524,215.04,16.065,5.839
8,340.0,5.5904,230.83,16.065,5.839
8,350.0,5.7892,216.59,16.065,5.839
8,360.0,5.6458,215.46,16.065,5.839
8,370.0,5.7715,219.97,16.065,5.839
8,380.0,4.7823,220.92,16.065,5.839
8,390.0,6.5406,209.89,16.065,5.839
8,400.0,6.0543,215.25,16.065,5.839
9,10.0,22.9738,301.62,24.261,5.377
9,20.0,19.6135,296.82,24.261,5.377
9,30.0,17.3562,282.88,24.261,5.377
9,40.0,12.9437,274.64,24.261,5.377
9,50.0,11.5728,256.99,24.261,5.377
9,60.0,10.1837,268.96,24.261,5.377
9,70.0,9.7205,255.44,24.261,5.377
9,80.0,8.9126,244.35,24.261,5.377
9,90.0,8.7239,238.97,24.261,5.377
9,100.0,6.7947,245.71,24.261,5.377
9,110.0,7.6121,245.45,24.261,5.377
9,120.0,6.8182,240.56,24.261,5.377
9,130.0,6.4142,244.53,24.261,5.377
9,140.0,6.84,239.4,24.261,5.377
9,150.0,5.9649,245.97,24.261,5.377
9,160.0,5.2659,237.81,24.261,5.377
9,170.0,6.018,241.52,24.261,5.377
9,180.0,5.3685,247.27,24.261,5.377
9,190.0,5.7198,256.52,24.261,5.377
9,200.0,6.1671,234.79,24.261,5.377
9,210.0,6.0828,237.83,24.261,5.377
9,220.0,6.6727,235.38,24.261,5.377
9,230.0,5.7378,244.95,24.261,5.377
9,240.0,5.0342,233.21,24.261,5.377
9,250.0,5.3903,237.06,24.261,5.377
9,260.0,5.2797,239.67,24.261,5.377
9,270.0,5.1047,233.87,24.261,5.377
9,280.0,5.9081,233.9,24.261,5.377
9,290.0,5.3469,236.7,24.261,5.377
9,300.0,4.6619,226.88,24.261,5.377
9,310.0,5.982,230.74,24.261,5.377
9,320.0,5.5622,236.87,24.261,5.377
9,330.0,5.7822,240.18,24.261,5.377
9,340.0,5.6436,238.12,24.261,5.377
9,350.0,5.8947,228.54,24.261,5.377
9,360.0,5.587,236.36,24.261,5.377
9,370.0,6.176,243.89,24.261,5.377
9,380.0,5.7611,242.4,24.261,5.377
9,390.0,5.736,238.55,24.261,5.377
9,400.0,5.737,233.67,24.261,5.377
10,10.0,21.7916,319.74,22.151,3.379
10,20.0,20.9844,316.72,22.151,3.379
10,30.0,18.3918,294.57,22.151,3.379
10,40.0,17.1596,289.24,22.151,3.379
10,50.0,14.518,269.39,22.151,3.379
10,60.0,13.0624,271.44,22.151,3.379
10,70.0,12.9423,268.97,22.151,3.379
10,80.0,10.8712,259.2,22.151,3.379
10,90.0,9.2301,239.08,22.151,3.379
10,100.0,8.6043,239.32,22.151,3.379
10,110.0,8.1185,231.02,22.151,3.379
10,120.0,7.9855,227.1,22.151,3.379
10,130.0,6.6549,232.59,22.151,3.379
10,140.0,5.6244,212.71,22.151,3.379
10,150.0,6.013,224.69,22.151,3.379
10,160.0,5.869,216.14,22.151,3.379
10,170.0,5.6664,223.23,22.151,3.379
10,180.0,6.0548,214.48,22.151,3.379
10,190.0,5.3682,208.08,22.151,3.379
10,200.0,5.4537,212.7,22.151,3.379
10,210.0,4.3542,214.51,22.151,3.379
10,220.0,5.2133,209.48,22.151,3.379
10,230.0,5.7166,211.46,22.151,3.379
10,240.0,4.9564,204.75,22.151,3.379
10,250.0,4.6089,194.49,22.151,3.379
10,260.0,4.4804,212.18,22.151,3.379
10,270.0,5.2264,210.5,22.151,3.379
10,280.0,3.8055,206.78,22.151,3.379
10,290.0,4.1559,205.92,22.151,3.379
10,300.0,4.3893,211.38,22.151,3.379
10,310.0,4.4836,202.1,22.151,3.379
10,320.0,3.8496,200.32,22.151,3.379
10,330.0,4.1822,203.16,22.151,3.379
10,340.0,3.8532,211.19,22.151,3.379
10,350.0,4.0189,195.51,22.151,3.379
10,360.0,3.8618,210.78,22.151,3.379
10,370.0,3.3286,199.6,22.151,3.379
10,380.0,3.8626,196.66,22.151,3.379
10,390.0,4.2874,210.66,22.151,3.379
10,400.0,3.3426,202.37,22.151,3.379
11,10.0,23.0895,344.05,24.08,3.972
11,20.0,20.3836,323.33,24.08,3.972
11,30.0,16.4729,313.61,24.08,3.972
11,40.0,14.1537,300.21,24.08,3.972
11,50.0,11.7556,290.43,24.08,3.972
11,60.0,9.8486,273.72,24.08,3.972
11,70.0,8.6385,273.63,24.08,3.972
11,80.0,7.9951,262.03,24.08,3.972
11,90.0,7.2761,257.26,24.08,3.972
11,100.0,6.4389,258.09,24.08,3.972
11,110.0,6.0867,258.52,24.08,3.972
11,120.0,6.5214,248.16,24.08,3.972
11,130.0,5.802,247.16,24.08,3.972
11,140.0,5.918,246.37,24.08,3.972
11,150.0,5.8953,246.77,24.08,3.972
11,160.0,5.438,239.98,24.08,3.972
11,170.0,6.1522,250.81,24.08,3.972
11,180.0,4.4964,241.61,24.08,3.972
11,190.0,5.2213,246.24,24.08,3.972
11,200.0,4.5787,238.05,24.08,3.972
11,210.0,5.5969,244.75,24.08,3.972
11,220.0,5.4592,244.6,24.08,3.972
11,230.0,3.5793,239.42,24.08,3.972
11,240.0,4.0255,253.79,24.08,3.972
11,250.0,4.801,243.65,24.08,3.972
11,260.0,4.8271,251.87,24.08,3.972
11,270.0,4.7677,246.77,24.08,3.972
11,280.0,4.3345,236.87,24.08,3.972
11,290.0,4.571,238.4,24.08,3.972
11,300.0,4.646,243.17,24.08,3.972
11,310.0,4.2589,240.79,24.08,3.972
11,320.0,4.7917,240.6,24.08,3.972
11,330.0,3.1303,238.48,24.08,3.972
11,340.0,4.5604,229.25,24.08,3.972
11,350.0,3.7114,238.66,24.08,3.972
11,360.0,4.6939,226.62,24.08,3.972
11,370.0,4.0874,242.09,24.08,3.972
11,380.0,3.7455,235.43,24.08,3.972
11,390.0,4.3659,235.43,24.08,3.972
11,400.0,3.7132,238.35,24.08,3.972
12,10.0,15.792,290.54,17.098,4.067
12,20.0,15.1266,293.2,17.098,4.067
12,30.0,11.6499,268.06,17.098,4.067
12,40.0,10.6627,260.31,17.098,4.067
12,50.0,8.2346,257.54,17.098,4.067
12,60.0,8.0198,245.14,17.098,4.067
12,70.0,6.9358,225.13,17.098,4.067
12,80.0,6.4895,232.74,17.098,4.067
12,90.0,6.3688,231.06,17.098,4.067
12,100.0,6.6287,217.03,17.098,4.067
12,110.0,5.5876,213.74,17.098,4.067
12,120.0,5.3463,217.19,17.098,4.067
12,130.0,4.6319,206.95,17.098,4.067
12,140.0,5.2756,224.32,17.098,4.067
12,150.0,4.75,200.2,17.098,4.067
12,160.0,5.1967,207.27,17.098,4.067
12,170.0,4.6814,211.68,17.098,4.067
12,180.0,5.5079,211.42,17.098,4.067
12,190.0,3.5898,213.34,17.098,4.067
12,200.0,4.3846,213.6,17.098,4.067
12,210.0,4.9317,210.36,17.098,4.067
12,220.0,4.2791,218.17,17.098,4.067
12,230.0,4.0263,198.27,17.098,4.067
12,240.0,4.2611,210.88,17.098,4.067
12,250.0,3.6791,206.4,17.098,4.067
12,260.0,4.4062,211.3,17.098,4.067
12,270.0,5.547,211.68,17.098,4.067
12,280.0,4.8814,204.74,17.098,4.067
12,290.0,3.7382,206.24,17.098,4.067
12,300.0,3.8415,214.73,17.098,4.067
12,310.0,4.0626,211.96,17.098,4.067
12,320.0,4.7552,205.69,17.098,4.067
12,330.0,3.8312,221.93,17.098,4.067
12,340.0,3.8869,223.47,17.098,4.067
12,350.0,4.6652,200.76,17.098,4.067
12,360.0,4.6467,211.28,17.098,4.067
12,370.0,4.0196,224.47,17.098,4.067
12,380.0,3.6405,214.06,17.098,4.067
12,390.0,3.4178,210.63,17.098,4.067
12,400.0,3.8371,208.01,17.098,4.067
13,10.0,25.1675,374.5,26.3,3.286
13,20.0,22.4386,352.02,26.3,3.286
13,30.0,20.043,333.63,26.3,3.286
13,40.0,16.7011,303.01,26.3,3.286
13,50.0,14.5238,286.96,26.3,3.286
13,60.0,13.0664,270.46,26.3,3.286
13,70.0,11.0849,270.08,26.3,3.286
13,80.0,9.8596,240.01,26.3,3.286
13,90.0,8.7642,235.77,26.3,3.286
13,100.0,7.8052,228.68,26.3,3.286
13,110.0,7.0629,226.82,26.3,3.286
13,120.0,6.4476,226.05,26.3,3.286
13,130.0,6.5522,213.21,26.3,3.286
13,140.0,5.2767,208.24,26.3,3.286
13,150.0,6.1945,200.84,26.3,3.286
13,160.0,5.2937,203.04,26.3,3.286
13,170.0,4.6926,210.05,26.3,3.286
13,180.0,4.6434,205.6,26.3,3.286
13,190.0,4.3957,197.93,26.3,3.286
13,200.0,4.6812,200.67,26.3,3.286
13,210.0,4.1263,202.12,26.3,3.286
13,220.0,4.9549,204.09,26.3,3.286
13,230.0,3.9037,196.76,26.3,3.286
13,240.0,3.0794,198.15,26.3,3.286
13,250.0,3.78,188.15,26.3,3.286
13,260.0,3.0787,191.63,26.3,3.286
13,270.0,4.007,207.77,26.3,3.286
13,280.0,4.5061,184.51,26.3,3.286
13,290.0,4.2549,195.23,26.3,3.286
13,300.0,3.2211,198.22,26.3,3.286
13,310.0,3.4714,194.35,26.3,3.286
13,320.0,4.7078,191.46,26.3,3.286
13,330.0,3.9467,195.68,26.3,3.286
13,340.0,3.7611,195.77,26.3,3.286
13,350.0,4.2609,195.09,26.3,3.286
13,360.0,4.9353,184.11,26.3,3.286
13,370.0,4.3351,194.31,26.3,3.286
13,380.0,3.736,189.89,26.3,3.286
13,390.0,3.8247,191.58,26.3,3.286
13,400.0,3.9384,196.08,26.3,3.286
14,10.0,27.1741,399.5,27.58,6.58
14,20.0,24.8533,366.17,27.58,6.58
14,30.0,21.111,350.06,27.58,6.58
14,40.0,18.2997,329.68,27.58,6.58
14,50.0,16.4663,306.27,27.58,6.58
14,60.0,13.5276,298.85,27.58,6.58
14,70.0,12.8892,279.47,27.58,6.58
14,80.0,11.4184,267.01,27.58,6.58
14,90.0,10.6449,274.19,27.58,6.58
14,100.0,9.2888,264.0,27.58,6.58
14,110.0,9.1832,256.94,27.58,6.58
14,120.0,9.1921,257.67,27.58,6.58
14,130.0,9.3007,255.64,27.58,6.58
14,140.0,9.0676,248.97,27.58,6.58
14,150.0,8.2971,230.24,27.58,6.58
14,160.0,8.0457,239.31,27.58,6.58
14,170.0,7.5586,239.25,27.58,6.58
14,180.0,8.0335,234.92,27.58,6.58
14,190.0,7.5871,241.01,27.58,6.58
14,200.0,7.909,246.11,27.58,6.58
14,210.0,8.3907,235.3,27.58,6.58
14,220.0,7.419,230.74,27.58,6.58
14,230.0,6.6165,249.14,27.58,6.58
14,240.0,6.8729,233.75,27.58,6.58
14,250.0,6.5193,228.61,27.58,6.58
14,260.0,6.6009,237.03,27.58,6.58
14,270.0,7.8083,237.8,27.58,6.58
14,280.0,7.2296,230.69,27.58,6.58
14,290.0,6.3207,239.37,27.58,6.58
14,300.0,7.3755,231.44,27.58,6.58
14,310.0,7.6498,228.59,27.58,6.58
14,320.0,6.8131,234.98,27.58,6.58
14,330.0,6.6309,238.33,27.58,6.58
14,340.0,6.778,229.72,27.58,6.58
14,350.0,7.0687,235.34,27.58,6.58
14,360.0,7.2277,232.64,27.58,6.58
14,370.0,7.4816,250.01,27.58,6.58
14,380.0,7.4808,228.68,27.58,6.58
14,390.0,7.4526,241.11,27.58,6.58
14,400.0,7.5272,232.38,27.58,6.58
15,10.0,20.1435,322.66,21.613,6.407
15,20.0,17.5444,290.76,21.613,6.407
15,30.0,15.3535,265.51,21.613,6.407
15,40.0,13.2169,235.42,21.613,6.407
15,50.0,12.0402,237.83,21.613,6.407
15,60.0,10.4199,229.65,21.613,6.407
15,70.0,9.9304,211.49,21.613,6.407
